Text,Class_Label
"Should I appeal to Skilling. ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/15/2000 12:52 PM --------------------------- Lee Wright@ENRON 02/15/2000 10:48 AM To: Phillip K Allen/HOU/ECT@ECT cc: Amelia Alder/OTS/Enron@ENRON Subject: Storage of Cycles at the Body Shop Phillip - I applaud you for using your cycle as daily transportation. Saves on gas, pollution and helps keep you strong and healthy. Enron provides bike racks in the front of the building for requests such as this. Phillip, I wish we could accommodate this request; however, The Body Shop does not have the capacity nor can assume the responsibility for storing cycles on a daily basis. If you bring a very good lock you should be able to secure the bike at the designated outside racks. Keep Pedalling - Lee",Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/11/2000 03:38 PM --------------------------- Tim Heizenrader 02/10/2000 12:55 PM To: James B Fallon/HOU/ECT@ECT, Phillip K Allen/HOU/ECT@ECT cc: Tim Belden/HOU/ECT@ECT Subject: Western Stra",Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/11/2000 12:31 PM --------------------------- ""George Rahal"" <george.rahal@acnpower.com> on 02/07/2000 03:13:58 PM To: <Phillip_K_Allen@enron.com> cc: Subject: RE: W basis quotes I'll get ba",Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/09/2000 10:27 AM --------------------------- ""George Rahal"" <george.rahal@acnpower.com> on 02/07/2000 03:13:58 PM To: <Phillip_K_Allen@enron.com> cc: Subject: RE: W basis quotes I'll get ba",Normal
I just spoke to the insurance company. They are going to cancel and prorate my policy and work with the Kuo's to issue a new policy.,Normal
Please get with randy to resolve.,Normal
"George, Can you please call my credit desk at 713-853-1803. They have not received any financials for ACN Power. Thanks, Phillip Allen",Normal
"Kim, Doublecheck with Julie G. , but I think it ok to pay Jan. demand charges.",Normal
I think Steven Wolf is the person to talk to about moving Kim Olinger to a different RC code.,Normal
is this still an issue?,Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/04/2000 05:08 PM --------------------------- ""mary richards"" <maryrichards7@hotmail.com> on 01/31/2000 02:39:43 PM To: Phillip K Allen/HOU/ECT@ECT cc: Subject: I revised the supp-vendor she",Normal
"Jim, Updated curves will be sent no later than 11 am on Monday 2/7. I want Keith to be involved in the process. He was out today. Sorry for the slow turnaround. Phillip",Normal
"Tara, This note is documentation of my approval of granting executing id's to the west cash traders. Thank you for your help. Phillip",Normal
here is the file I showed you.,Normal
vishal resigned today,Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/24/2001 09:26 AM --------------------------- From: Frank Hayden/ENRON@enronXgate on 04/24/2001 09:25 AM CDT To: Phillip K Allen/HOU/ECT@ECT, John Arnold/HOU/ECT@ECT cc: Subject: FYI, ? Sell",Normal
"Julie, The numbers for January are below: Actual flows X gas daily spreads $ 463,000 Actual flow X Index spreads $ 543,000 Jan. value from original bid $1,750,000 Estimated cost to unwind hedges ($1,000,000) Based on these numbers, I suggest we offer to pay at least $500,000 but no more than $1,500,000. I want your input on how to negotiate with El Paso. Do we push actual value, seasonal shape, or unwind costs? Phillip",Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/27/2000 04:44 PM --------------------------- Matthew Lenhart 01/24/2000 06:22 AM To: Phillip K Allen/HOU/ECT@ECT, Mike Grigsby/HOU/ECT@ECT cc: Subject: dopewars ---------------------- Forwa",Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/18/2000 06:03 PM --------------------------- enorman@living.com on 01/18/2000 02:44:50 PM To: Phillip K Allen/HOU/ECT@ECT cc: ben@living.com, enorman@living.com, stephanie@living.com Subjec",Normal
"Will, I didn't get to review this. I will give you feedback tomorrow morning Phillip",Normal
"Tara, Please make the following changes: FT-West -change master user from Phillip Allen to Keith Holst IM-West-Change master user from Bob Shiring to Phillip Allen Mock both existing profiles. Please make these changes on 1/17/00 at noon. Thank you Phillip",Normal
"Susan, I received an enrollment confirmation for a class that I did not sign up for. Is there some mistake? Phillip Allen",Normal
"Jeff/Brenda: Please authorize the following products for approval. customers are expecting to see them on 1/14. PG&E Citygate-Daily Physical, BOM Physical, Monthly Index Physical Malin-Daily Physical, BOM Physical, Monthly Index Physical Keystone-Monthly Index Physical Socal Border-Daily Physical, BOM Physical, Monthly Index Physical PG&E Topock-Daily Physical, BOM Physical, Monthly Index Physical Please approve and forward to Dale Neuner Thank you Phillip",Normal
Call me. I can't get out.,Normal
forecast for socal demand/rec/storage. Looks like they will need more gas at ehrenberg.(the swing receipt point) than 98 or 99.,Normal
"Griff, It is bidweek again. I need to provide view only ID's to the two major publications that post the monthly indeces. Please email an id and password to the following: Dexter Steis at Natural Gas Intelligence- dexter@intelligencepress.com Liane Kucher at Inside Ferc- lkuch@mh.com Bidweek is under way so it is critical that these id's are sent out asap. Thanks for your help, Phillip Allen",Normal
"Jeff/Brenda, Please authorize and forward to Tara Sweitzer. Please set up the following with the ability to setup and manage products in stack manager: Steve South Tory Kuykendall Janie Tholt Frank Ermis Matt Lenhart Note: The type of product these traders will be managing is less than 1 month physical in the west. Also please grant access & passwords to enable the above traders to execute book to book trades on EOL. If possible restrict their execution authority to products in the first 3 months. Thank you Phillip Allen",Normal
"Mary Received an email from you on 1/7, but there was no message. Please try again. Phillip",Normal
received the file. It worked. Good job.,Normal
What did mary write? Stage misses you? I sent 2 emails. Maybe mary is stalking gary,Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 12/11/99 02:39 PM --------------------------- ""the shockwave.com team"" on 11/05/99 02:49:43 AM Please respond to To: Phillip K Allen/HOU/ECT@ECT cc: Subject: Stick it in your Shockmachine! Fir",Normal
"Naomi, The two analysts that I have had contact with are Matt Lenhart and Vishal Apte. Matt will be represented by Jeff Shankman. Vishal joined our group in October. He was in the Power Trading Group for the first 9 months. I spoke to Jim Fallon and we agreed that he should be in the excellent category. I just don't want Vishal to go unrepresented since he changed groups mid year. Call me with questions.(x37041) Phillip Allen West Gas Trading",Normal
Here is our forecast,Normal
"Outlook Migration Team@ENRON 05/11/2001 01:49 PM To: Cheryl Cindy R Ward/NA/Enron@ENRON, Jo Ann Hill/Corp/Enron@ENRON, Sonja Galloway/Corp/Enron@Enron, Bilal Bajwa/NA/Enron@Enron, Binh Pham/HOU/ECT@ECT, Bradley Jones/ENRON@enronXgate, Bruce Mills/Corp/Enron@ENRON, Chance Rabon/ENRON@enronXgate, Chuck Ames/NA/Enron@Enron, David Baumbach/HOU/ECT@ECT, Jad Doan/ENRON@enronXgate, O'Neal D Winfree/HOU/ECT@ECT, Phillip M Love/HOU/ECT@ECT, Sladana-Anna Kulic/ENRON@enronXgate, Victor Guggenheim/HOU/ECT@ECT, Alejandra Chavez/NA/Enron@ENRON, Anne Bike/Enron@EnronXGate, Carole Frank/NA/Enron@ENRON, Darron C Giron/HOU/ECT@ECT, Elizabeth L Hernandez/HOU/ECT@ECT, Elizabeth Shim/Corp/Enron@ENRON, Jeff Royed/Corp/Enron@ENRON, Kam Keiser/HOU/ECT@ECT, Kimat Singla/HOU/ECT@ECT, Kristen Clause/ENRON@enronXgate, Kulvinder Fowler/NA/Enron@ENRON, Kyle R Lilly/HOU/ECT@ECT, Luchas Johnson/NA/Enron@Enron, Maria Garza/HOU/ECT@ECT, Patrick Ryder/NA/Enron@Enron, Ryan O'Rourke/ENRON@enronXgate, Yuan Tian/NA/Enron@ENRON, Frank Ermis/HOU/ECT@ECT, Jane M Tholt/HOU/ECT@ECT, Jay Reitmeyer/HOU/ECT@ECT, Keith Holst/HOU/ECT@ect, Matthew Lenhart/HOU/ECT@ECT, Mike Grigsby/HOU/ECT@ECT, Monique Sanchez/HOU/ECT@ECT, Phillip K Allen/HOU/ECT@ECT, Randall L Gay/HOU/ECT@ECT, Tori Kuykendall/HOU/ECT@ECT, Ina Norman/HOU/ECT@ECT, Jackie Travis/HOU/ECT@ECT, Michael J Gasper/HOU/ECT@ECT, Brenda H Fletcher/HOU/ECT@ECT, Jeanne Wukasch/Corp/Enron@ENRON, Mary Theresa Franklin/HOU/ECT@ECT, Mike Potter/NA/Enron@Enron, Natalie Baker/HOU/ECT@ECT, Suzanne Calcagno/NA/Enron@Enron, Albert Stromquist/Corp/Enron@ENRON, Rajesh Derek Anderson/HOU/ECT@ECT, Brad Horn/HOU/ECT@ECT, Camille Gerard/Corp/Enron@ENRON, Cathy Lira/NA/Enron@ENRON, Daniel Eva Tow/Corp/Enron@ENRON, Lam Nguyen/NA/Enron@Enron, Andy Pace/NA/Enron@Enron, Anna Santucci/NA/Enron@Enron, Claudia Guerra/NA/Enron@ENRON, Clayton Vernon/Corp/Enron@ENRON, David Ryan/Corp/Enron@ENRON, Eric Smith/Contractor/Enron Communications@Enron Communications, Grace Kim/NA/Enron@Enron, Jason Kaniss/ENRON@enronXgate, Kevin Cline/Corp/Enron@Enron, Rika Imai/NA/Enron@Enron, Todd DeCook/Corp/Enron@Enron, Beth Jensen/NPNG/Enron@ENRON, Billi Harrill/NPNG/Enron@ENRON, Martha Phyllis Miller/NPNG/Enron@ENRON, Sandy Olofson/NPNG/Enron@ENRON, Theresa Byrne/NPNG/Enron@ENRON, Danny McCarty/ET&S/Enron@Enron, Denis Tu/FGT/Enron@ENRON, John A Ayres/FGT/Enron@ENRON, John Millar/FGT/Enron@Enron, Julie Armstrong/Corp/Enron@ENRON, Maggie Schroeder/FGT/Enron@ENRON, Max Brown/OTS/Enron@ENRON, Randy Cantrell/GCO/Enron@ENRON, Tracy Scott/Corp/Enron@ENRON, Charles T Muzzy/HOU/ECT@ECT, Cora Pendergrass/Corp/Enron@ENRON, Darren Espey/Corp/Enron@ENRON, Jessica White/NA/Enron@Enron, Kevin Brady/NA/Enron@Enron, Kirk Lenart/HOU/ECT@ECT, Lisa Kinsey/HOU/ECT@ECT, Margie Straight/HOU/ECT@ECT, Mark L Schrab/HOU/ECT@ECT, Souad Mahmassani/Corp/Enron@ENRON, Tammy Gilmore/NA/Enron@ENRON, Teresa McOmber/NA/Enron@ENRON, Wes Dempsey/NA/Enron@Enron, Barry Feldman/NYC/MGUSA@MGUSA, Catherine Huynh/NA/Enron@Enron cc: Subject: 2- SURVEY/INFORMATION EMAIL 5-14- 01 Current Notes User: To ensure that you experience a successful migration from Notes to Outlook, it is necessary to gather individual user information prior to your date of migration. Please take a few minutes to completely fill out the following survey. Double Click on document to put it in ""Edit"" mode. When you finish, simply click on the 'Reply With History' button then hit 'Send' Your survey will automatically be sent to the Outlook 2000 Migration Mailbox. Thank you. Outlook 2000 Migration Team Full Name: Phillip Allen Login ID: pallen Extension: 37041 Office Location: EB3210C What type of computer do you have? (Desktop, Laptop, Both) Both Do you have a PDA? If yes, what type do you have: (None, IPAQ, Palm Pilot, Jornada) IPAQ Do you have permission to access anyone's Email/Calendar? If yes, who? Does anyone have permission to access your Email/Calendar? Yes, Ina Rangel If yes, who? Are you responsible for updating anyone else's address book? If yes, who? Is anyone else responsible for updating your address book? If yes, who? Do you have access to a shared calendar? If yes, which shared calendar? Do you have any Distribution Groups that Messaging maintains for you (for mass mailings)? If yes, please list here: Please list all Notes databases applications that you currently use: In our efforts to plan the exact date/time of your migration, we also will need to know: What are your normal work hours? From: 7 To: 5 Will you be out of the office in the near future for vacation, leave, etc? If so, when? From (MM/DD/YY): To (MM/DD/YY):",Normal
"Let me know when you get the quotes from Pauline. I am expecting to pay something in the $3,000 to $5,000 range. I would like to see the quotes and a description of the work to be done. It is my understanding that some rock will be removed and replaced with siding. If they are getting quotes to put up new rock then we will need to clarify. Jacques is ready to drop in a dollar amount on the release. If the negotiations stall, it seems like I need to go ahead and cut off the utilities. Hopefully things will go smoothly. Phillip",Normal
"Jeff, Jacques Craig will draw up a release. What is the status on the quote from Wade? Phillip",Normal
Send his resume to Karen Buckley. I believe there will be a full round of interviews for the trading track in May.,Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/07/2001 11:22 AM --------------------------- From: Jay Reitmeyer 05/03/2001 11:03 AM To: stanley.horton@enron.com, dmccarty@enron.com cc: Subject: California Summary Attached is the final v",Normal
"Can you guys coordinate to make sure someone listens to this conference call each week. Tara from the fundamental group was recording these calls when they happened every day. Phillip ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/07/2001 07:26 AM --------------------------- James D Steffes@ENRON 05/03/2001 05:44 AM To: Phillip K Allen/HOU/ECT@ECT cc: Subject: Re: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted Please forward to anyone on your team that wants updates on Western wholesale matters (should also give you an opportunity to raise state matters if you want to discuss). Jim ---------------------- Forwarded by James D Steffes/NA/Enron on 05/03/2001 07:42 AM --------------------------- Ray Alvarez 05/02/2001 05:40 PM To: Steve Walton/HOU/ECT@ECT, Susan J Mara/NA/Enron@ENRON, Alan Comnes/PDX/ECT@ECT, Leslie Lawner/NA/Enron@Enron, Rebecca W Cantrell/HOU/ECT@ECT, Donna Fulton/Corp/Enron@ENRON, Jeff Dasovich/NA/Enron@Enron, Christi L Nicolay/HOU/ECT@ECT, James D Steffes/NA/Enron@Enron, jalexander@gibbs-bruns.com, Phillip K Allen/HOU/ECT@ECT cc: Linda J Noske/HOU/ECT@ECT Subject: Re: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted Date: Every Thursday Time: 1:00 pm Pacific, 3:00 pm Central, and 4:00 pm Eastern time, Number: 1-888-271-0949, Host Code: 661877, (for Jim only), Participant Code: 936022, (for everyone else), Attached is the table of the on-going FERC issues and proceedings updated for use on tomorrow's conference call. It is available to all team members on the O drive. Please feel free to revise/add to/ update this table as appropriate. Proposed agenda for tomorrow: Power- Discussion of FERC market monitoring and mitigation order in EL00-95-12 and review of upcoming filings Gas- Response to subpoenas of SoCal Edison in RP00-241 and upcoming items Misc. I will be unable to participate in the call tomorrow as I will be attending the Senate Energy and Resource Committee Hearing on the elements of the FERC market monitoring and mitigation order.",Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/07/2001 06:54 AM --------------------------- From: Kristin Walsh/ENRON@enronXgate on 05/04/2001 04:32 PM CDT To: John J Lavorato/ENRON@enronXgate, Louise Kitchen/HOU/ECT@ECT cc: Phillip K A",Normal
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/04/2001 10:15 AM --------------------------- James D Steffes@ENRON 05/03/2001 05:44 AM To: Phillip K Allen/HOU/ECT@ECT cc: Subject: Re: Western Wholesale Activities - Gas & Power Conf. Call,Normal
"Traveling to have a business meeting takes the fun out of the trip. Especially if you have to prepare a presentation. I would suggest holding the business plan meetings here then take a trip without any formal business meetings. I would even try and get some honest opinions on whether a trip is even desired or necessary. As far as the business meetings, I think it would be more productive to try and stimulate discussions across the different groups about what is working and what is not. Too often the presenter speaks and the others are quiet just waiting for their turn. The meetings might be better if held in a round table discussion format. My suggestion for where to go is Austin. Play golf and rent a ski boat and jet ski's. Flying somewhere takes too much time.",Normal
"Tim, mike grigsby is having problems with accessing the west power site. Can you please make sure he has an active password. Thank you, Phillip",Normal
"Reagan, Just wanted to give you an update. I have changed the unit mix to include some 1 bedrooms and reduced the number of buildings to 12. Kipp Flores is working on the construction drawings. At the same time I am pursuing FHA financing. Once the construction drawings are complete I will send them to you for a revised bid. Your original bid was competitive and I am still attracted to your firm because of your strong local presence and contacts. Phillip",Normal
"Jim, Is there going to be a conference call or some type of weekly meeting about all the regulatory issues facing California this week? Can you make sure the gas desk is included. Phillip",Normal
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/02/2001 05:26 AM --------------------------- Ina Rangel 05/01/2001 12:24 PM To: Phillip K Allen/HOU/ECT@ECT cc: Subject: Re: 2- SURVEY - PHILLIP ALLEN - Full Name: Phillip Allen Login ID: p,Normal
Have him send his resume to Karen Buckley in HR. There is a new round of trading track interviews in May.,Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/01/2001 02:14 PM --------------------------- Outlook Migration Team@ENRON 04/27/2001 01:01 PM To: Allison Horton/NA/Enron@ENRON, Amir Baig/NA/Enron@ENRON, Brandon Bangerter/NA/Enron@Enron, ",Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/01/2001 02:14 PM --------------------------- Outlook Migration Team@ENRON 04/27/2001 01:00 PM To: Allison Horton/NA/Enron@ENRON, Amir Baig/NA/Enron@ENRON, Brandon Bangerter/NA/Enron@Enron, ",Normal
"Alan, You should have received updated numbers from Keith Holst. Call me if you did not receive them. Phillip",Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/30/2001 11:21 AM --------------------------- Alan Comnes 04/27/2001 01:38 PM To: Phillip K Allen/HOU/ECT@ECT cc: Joe Hartsoe/Corp/Enron@ENRON Subject: Request from Steve Kean Phillip, I got",Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/30/2001 10:36 AM --------------------------- Alan Comnes 04/27/2001 01:38 PM To: Phillip K Allen/HOU/ECT@ECT cc: Joe Hartsoe/Corp/Enron@ENRON Subject: Request from Steve Kean Phillip, I got",Normal
"Tim, Can you authorize access to the west power site for Keith Holtz. He is our Southern California basis trader and is under a two year contract. On another note, is it my imagination or did the SARR website lower its forecast for McNary discharge during May. It seems like the flows have been lowered into the 130 range and there are fewer days near 170. Also the second half of April doesn't seem to have panned out as I expected. The outflows stayed at 100-110 at McNary. Can you email or call with some additional insight? Thank you, Phillip",Normal
"Gary, I have also been speaking to Johnnie Brown in San Antonio to be the general contractor. According to Johnnie, I would not be pay any less buying from the factory versus purchasing the panels through him since my site is within his region. Assuming this is true, I will work directly with him. I believe he has sent you my plans. They were prepared by Kipp Flores architects. Can you confirm that the price is the same direct from the factory or from the distributor? If you have the estimates worked up for Johnnie will you please email them to me as well? Thank you for your time. I am excited about potentially using your product. Phillip Allen",Normal
"Ray, Is there any detail on the gas cost proxy. Which delivery points from which publication will be used? Basically, can you help us get any clarification on the language ""the average daily cost of gas for all delivery points in California""? Phillip",Normal
"Andrea, After reviewing Bryan Hull's resume, I think he would be best suited for the trading track program. Please forward his resume to Karen Buckley. Phillip",Normal
"Ned, Regarding the Waha storage, the west desk does not have a strong need for this storage but we are always willing to show a bid based on the current summer/winter spreads and cycling value. The following assumptions were made to establish our bid: 5% daily injection capacity, 10% daily withdrawal capacity, 1% fuel (injection only), 0.01/MMBtu variable injection and withdrawal fees. Also an undiscounted June 01 to January 02 spread of $0.60 existed at the time of this bid. Bid for a 1 year storage contract beginning June 01 based on above assumptions: $0.05/ MMBtu/Month ($0.60/Year). Demand charges only. I am not sure if this is exactly what you need or not. Please call or email with comments. Phillip Allen",Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/25/2001 01:51 PM --------------------------- Ray Alvarez@ENRON 04/25/2001 11:48 AM To: Phillip K Allen/HOU/ECT@ECT cc: Subject: Re: This morning's Commission meeting delayed Phil, I suspect",Normal
Are there behind closed doors discussions being held prior to the meeting? Is there the potential for a surprise announcement of some sort of fixed price gas or power cap once the open meeting finally happens?,Normal
"Gary, Here is a photograph of a similar house. The dimensions would be 56'Wide X 41' Deep for the living area. In addition there will be a 6' deep two story porch across the entire back and 30' across the front. A modification to the front will be the addition of a gable across 25' on the left side. The living area will be brought forward under this gable to be flush with the front porch. I don't have my floor plan with me at work today, but will bring in tomorrow and fax you a copy. Phillip Allen 713-853-7041 pallen@enron.com ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/25/2001 12:51 PM --------------------------- Hunter S Shively 03/26/2001 10:01 AM To: phillip.k.allen@enron.com cc: Subject:",Normal
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/24/2001 02:23 PM --------------------------- Eric Benson@ENRON on 04/24/2001 11:47:40 AM To: Phillip K Allen/HOU/ECT@ECT cc: Subject: Instructions for FERC Meetings Mr. Allen - Per our phon,Normal
"Frank, The implied risk created by the san juan and rockies indeces being partially set after today is the same as the risk in a long futures position. Whatever the risk was prior should not matter. Since the rest of the books are very short price this should be a large offset. If the VAR calculation does not match the company's true risk then it needs to be revised or adjusted. Phillip",Normal
I just spoke to the insurance company. They are going to cancel and prorate my policy and work with the Kuo's to issue a new policy.,Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/24/2001 09:26 AM --------------------------- From: Frank Hayden/ENRON@enronXgate on 04/24/2001 09:25 AM CDT To: Phillip K Allen/HOU/ECT@ECT, John Arnold/HOU/ECT@ECT cc: Subject: FYI, o Sell",Normal
"Griff, It is bidweek again. I need to provide view only ID's to the two major publications that post the monthly indeces. Please email an id and password to the following: Dexter Steis at Natural Gas Intelligence- dexter@intelligencepress.com Liane Kucher at Inside Ferc- lkuch@mh.com Bidweek is under way so it is critical that these id's are sent out asap. Thanks for your help, Phillip Allen",Normal
I think Chad deserves an interview.,Normal
Send his resume to Karen Buckley. I believe there will be a full round of interviews for the trading track in May.,Normal
Have him send his resume to Karen Buckley in HR. There is a new round of trading track interviews in May.,Normal
"Andrea, After reviewing Bryan Hull's resume, I think he would be best suited for the trading track program. Please forward his resume to Karen Buckley. Phillip",Normal
"Johnnie, Thank you for meeting with me on Friday. I left feeling very optimistic about the panel system. I would like to find a way to incorporate the panels into the home design I showed you. In order to make it feasible within my budget I am sure it will take several iterations. The prospect of purchasing the panels and having your framers install them may have to be considered. However, my first choice would be for you to be the general contractor. I realize you receive a number of calls just seeking information about this product with very little probability of a sale. I just want to assure you that I am going to build this house in the fall and I would seriously consider using the panel system if it truly was only a slight increase in cost over stick built. Please email your cost estimates when complete. Thank you, Phillip Allen",Normal
"Ina, Can you please forward the presentation to Mog. Phillip ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/18/2001 02:50 PM --------------------------- From: Karen Buckley/ENRON@enronXgate on 04/18/2001 10:56 AM CDT To: Phillip K Allen/HOU/ECT@ECT cc: Subject: RE: Presentation to Trading Track A&A Hi Philip If you do have slides preapred,, can you have your assistant e:mail a copy to Mog Heu, who will conference in from New York. Thanks, karen -----Original Message----- From: Allen, Phillip Sent: Wednesday, April 18, 2001 10:30 AM To: Buckley, Karen Subject: Re: Presentation to Trading Track A&A The topic will the the western natural gas market. I may have overhead slides. I will bring handouts.",Normal
"Chad, Call Ted Bland about the trading track program. All the desks are trying to use this program to train analysts to be traders. Your experience should help you in the process and make the risk rotation unnecessary. Unless you are dying to do another rotation is risk. Phillip",Normal
"How am I to send them the money for the silent second? Regular mail, overnight, wire transfer? I don't see how their bank will make the funds available by Friday unless I wire the money. If that is what I need to do please send wiring instructions.",Normal
The topic will the the western natural gas market. I may have overhead slides. I will bring handouts.,Normal
"Johnnie, Thank you for meeting with me on Friday. I left feeling very optimistic about the panel system. I would like to find a way to incorporate the panels into the home design I showed you. In order to make it feasible within my budget I am sure it will take several iterations. The prospect of purchasing the panels and having your framers install them may have to be considered. However, my first choice would be for you to be the general contractor. I realize you receive a number of calls just seeking information about this product with very little probability of a sale. I just want to assure you that I am going to build this house in the fall and I would seriously consider using the panel system if it truly was only a slight increase in cost over stick built. Please email your cost estimates when complete. Thank you, Phillip Allen",Normal
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/18/2001 08:10 AM --------------------------- To: Phillip K Allen/HOU/ECT@ECT cc: Subject: approved trader list Enron Wholesale Services (EES Gas Desk) Approved Trader List: Name Title Regio,Normal
"The insurance company is: Central Insurance Agency, Inc 6000 N., Lamar P.O. Box 15427 Austin, TX 78761-5427 Policy #CBI420478 Contact: Jeanette Peterson (512)451-6551 The actual policy is signed by Vista Insurance Partners. Please try and schedule the appraiser for sometime after 1 p.m. so my Dad can walk him around. I will be out of town on Tuesday. What else do we need to get done before closing? Phillip",Normal
I will email you with the insurance info tomorrow.,Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/12/2001 10:33 AM --------------------------- From: Phillip K Allen 04/12/2001 08:09 AM To: Jeff Richter/HOU/ECT@ECT, Tim Belden/HOU/ECT@ECT, Tim Heizenrader/PDX/ECT@ECT cc: Subject: Here is",Normal
"Here is a simplistic spreadsheet. I didn't drop in the new generation yet, but even without the new plants it looks like Q3 is no worse than last year. Can you take a look and get back to me with the bullish case? thanks, Phillip",Normal
I will try and get my dad to take the appraiser into a couple of units. Let me know the day and time. Phillip,Normal
"Larry, It sounds like Claudia and Jacques are almost finished with the documents. There is one item of which I was unsure. Was an environmental report prepared before the original purchase? If yes, shouldn't it be listed as an asset of the partnership and your costs be recovered? Phillip",Normal
