Class_Label,Text
Normal,"[IMAGE] Airlines [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] Week of December 12, 2000 A Weekly Travel Newsletter from TravelNow.com ? Dear Eric, Would you like to expand your mind and learn new things? If so, we've got some great travel opportunites for you this week. You can brush up on your geography on the Western Discoverer vacation. Experience famous waterways on your Egyptian travels or your April Tulip Cruise. Study skiing in Canada or discover a new you in Mexico. Broaden your horizons by seeing new ones! ??This Week in Here's the Deal [IMAGE]Hotels in Reno, Orlando, and Minneapolis [IMAGE]April Tulip Cruise [IMAGE]Loreto All-Inclusive [IMAGE]Mont-Tremblant Indulgence [IMAGE]Egypt via Paris with Nile Cruise [IMAGE]TravelTips - Travel Planner [IMAGE]Wild Wild West [IMAGE]TravelNews - The Talk of Travel Town [IMAGE] [IMAGE] WESTERN DISCOVERER 13 night deluxe motorcoach tour Visit San Diego, Scottsdale, Grand Canyon, Zion National Park, Las Vegas, Yosemite, San Francisco and more Starts at $1850 per person ?More Info... ? [IMAGE][IMAGE] ? ? Hotel Deals - Rest For The Weary ? Don't forget to make your holiday travel plans in advance, they book up quickly! Grab a great deal on a hotel, a cheap rental car, or a low priced airline ticket while you can! Reno - Specially acquired rates at the Silver Legacy Resort and Casino starting at $52 per night Charlotte - Specially acquired rates at the Clarion Hotel starting at $79 per night Orlando - Specially acquired rates at the Hampton Inn Maingate West starting at $84 per night Montreal - Specially acquired rates at the Novotel Montreal Centre starting at $94 per night Minneapolis - Specially acquired rates at the Sofitel Minneapolis starting at $125 per night For more hotel specials, in other cities, visit our specials page! *All hotel prices are listed in US Dollars. ? Eastpak Equalizer [IMAGE] Versatile bag can be worn as daypack, shoulder bag or carried as a brief. $39.99 Order Now! Search for travel related products.... ? ? ? ? ? Cruise Package - Tiptoe Through The Tulips ? April Tulip Cruise -7 night cruise from Amsterdam throughout the Netherlands -Visit Amsterdam, Volendam, Edam, Kampen, Arnhem, Rotterdam and more -Starts at $1998 per person ? ? ? All-Inclusive Package - Desert Rose ? Loreto All-Inclusive -5 nights accommodations at an Adults Only resort -Includes meals, snacks, beverages, activities, entertainment, and more -Starts at $549 per person ? ? ? Adventure Package - Footprints In The Snow ? Mont-Tremblant Indulgence -5 nights accommodations in Canada -Includes 4 day lift ticket, dinner, and admission to a spa -Starts at $613 per person ? ? ? Air and Land Package - Walk Like An Egyptian ? Egypt and Nile Cruise -10 day adventure in Egypt including 4 night cruise on the Nile -Includes accommodations, cruise, roundtrip airfare, and most meals -Starts at $1483.90 per person ? ? ? Best Seller - Irish Eyes Are Smiling ? St. Patrick's Day In Ireland -7 night tour of Ireland -Includes roundtrip airfare, accommodations, deluxe motorcoach tour and more -Starts at $1599 per person ? ? ? [IMAGE][IMAGE] ? [IMAGE] ? ? ? ??TravelTips ? Travel Planner ? Hole-punch all of your information for your trip (and make copies of anything you'll need), organize it by what you'll need chronologically, and place it in a slim, bright, lightweight soft-side plastic binder. It's very easy to find in your carry bag, and you can easily flip through to find your itinerary, the address of the hotel you're going to, the phone number of the person you're supposed to hook up with, etc. - Anita Brienza If you have any great travel tips, stories, or photos send them to me and you might just see your name in the next issue of Here's The Deal! ? ? [IMAGE] ? ? ? ??TravelTools ? Wild Wild West ? Discover more about the old west and cowboy history at Lonehand's ranch. If you're more interested in the land than the people, do your part to save the national parks at the National Parks Conservation Association . Don't forget to pick up some binoculars or a travel pillow from the TravelShop and make your trip a little more comfortable. Enjoy your vacation! ? ? [IMAGE] ? ? ? ??TravelNews ? The Talk of Travel Town ? Clinton to announce federal regulations to ease airport congestion Grope-free trains in Japan Lakes bring new hope for life in Sahara ? ? ? Read more about TravelNow.com in our Press Room. (NASDAQ SC Stock Symbol: TNOW) [IMAGE] Forward this deal to a friend and start planning a trip together! We would hate for you to miss anything, but if you are not interested in receiving Here's The Deal! from TravelNow.com, please click here to unsubscribe. You are currently subscribed as: ebass@enron.com ? ? Hotels | Airfare | Car Rental | Rail | Cruises | Affiliates | Contact Us ? ? [IMAGE]"
Normal,"Dear Eric, We scored a major victory for election integrity this past Sunday when Florida certified the election results in George W. Bush's favor. I want to thank you for being one of the 325,000 plus Americans who joined the petition campaign at ElectionIntegrity2000.com to ""Certify the Bush Victory."" Unfortunately, Al Gore has flatly refused to accept the fair and just election results. Instead, he is pursuing a calculated course of action intended to overturn the will of the voters and the CERTIFIED election results. Included in these actions are his attempts to attack and discredit military absentee votes cast for George W. Bush while simultaneously using manipulative ""hand-counting"" techniques to convert so-called ""dimpled chads"" into votes for Gore. This is not fair, it is not right, and the American people won't be fooled by the attack dogs and spin-doctors sent by Al Gore to crowd the airwaves on his behalf. What Gore is doing is WRONG. And every day that he continues to contest this election -- whether it be in the courts or in the media or anywhere else -- further frustrates and angers a clear majority of American citizens. That's why Election Integrity 2000 has started up a new campaign to collect online letters and send them to Al Gore urging him to concede the election NOW! Al Gore always claims to be ""listening to the will of the people."" The fact is, WE are the people, and he is about to hear from us in a big way. But just in case this isn't enough, we'll also be sending daily press releases to the leaders in the House and Senate as well as the major news media informing them about the overwhelming response we are receiving from American people demanding that Al Gore concede. Eric, this is a personalized message just for you. Please go to the link at the bottom of this message to sign your letter to Al Gore. Do NOT forward this e-mail. In the couple of hours, I'll send you another e-mail for you to forward to every friend who might be interested in sending a message to Al Gore that America wants him to concede. For Election Integrity, Bruce Eberle PERSONALIZED LINK AOL FRIENDLY: <A er to Al Gore</A> If you would like to unsubscribe from Election Integrity 2000 e-mail updates or change your e-mail address, please visit our web site at: AOL Users: <A subscribe or Change E-mail</A>"
Normal,"Warning- it has sound. ---------------------- Forwarded by Shanna Husser/HOU/EES on 11/29/2000 01:55 PM --------------------------- Christina Barthel 11/29/2000 01:50 PM To: Angie Ramirez/HOU/EES@EES, Shanna Husser/HOU/EES@EES, Rafael Avila/HOU/EES@EES, ""Meredith"" <meredith@friersoncpa.com>, ""Jaimie"" ""Ashley"" ""Scott"" <scott.stieb@delta-air.com>, ""Randy"" <Randy.Stieb@HILL.af.mil> cc: Subject: FW: whazzup? ---------------------- Forwarded by Christina Barthel/HOU/EES on 11/29/2000 01:49 PM --------------------------- From: Lynna Kacal@ENRON on 11/29/2000 01:49 PM To: ""Aaron, George"" Christina Barthel/HOU/EES@EES, Leon Branom/Corp/Enron@ENRON, ""Jeff Chumchal"" <jeffc_74@hotmail.com>, Robert B Cothran/Corp/Enron@ENRON, ""Julie DeLuna"" <julie@boutroslaw.com>, ""Dennis & Julie"" <dennisjoines@netzero.net>, ""Peggy Gasch"" <pabgasch@hotmail.com>, Ricardo Guerra/Corp/Enron@ENRON, ""Bruce A. Kacal"" <kacal@shellus.com>, ek2535@juno.com, Gary Kacal <GKACAL@danielind.com>, Gary W Kacal <chyknman@juno.com>, jenny kacal <flygrl517@yahoo.com>, Kevin Kosub/AA/Corp/Enron@ENRON, Troy Kosub/LON/ECT@ECT, jaredmcdaniel@hotmail.com, Chris Ochoa/NA/Enron@Enron, Richard Orellana/Corp/Enron@ENRON, Angie Ramirez/HOU/EES@EES, ""Ressler, Sherry L"" <SLRESS@solutia.com>, Todd Richards/Corp/Enron@ENRON, Selma Reyna/Corp/Enron@ENRON, Jayce Roundtree/NA/Enron@ECT, Robert Sammon/NA/Enron@Enron, ""Meggins L. Scheel"" <mscheel@pdq.net>, bigirv@n-link.com, strickland@odpemail.tamu.edu, ""Lonnie Tipton"" <ntipton@cyrunner.net>, Lonnie Tipton Raul Yzquierdo/Enron Communications@ENRON COMMUNICATIONS cc: Subject: FW: whazzup? ---------------------- Forwarded by Lynna Kacal/Corp/Enron on 11/29/2000 01:42 PM --------------------------- Wayne Pierce 11/29/2000 12:48 PM To: Harry Kent/Corp/Enron@ENRON, Lynna Kacal/Corp/Enron@ENRON cc: Subject: FW: whazzup? - election_whazzup[1].exe"
Normal,"Hi E, ? Try this but read the rules.? LU-M ? 4592589 - ITA Software Trip Planner.url"
Normal,Never mind.? I inadvertently hit 19 Dec.? I'll keep checking. - Complete trips near your ideal times.url
Normal,This is a terrific fare from Continental.? I have looked at all sites and this is the very best.? The first one seems to fit your schedule.? LU-M - Complete trips near your ideal times.url
Normal,"I N S I D E I N V E S T O R A M A November 29, 2000 Your Portal to Financial Freedom http://www.investorama.com/ Dear Dominator128, Welcome to ""Inside Investorama,"" your weekly email newsletter bringing you the best of Investorama this week. Check out the latest features, new tools, and what's happening in the community. In This Edition: * INVESTORAMA ESSENTIALS * THE LATEST FROM THE GUIDES * FROM THE DIRECT INVESTING GUIDE * FROM THE INSURANCE GUIDE * AROUND THE COMMUNITY INVESTORAMA ESSENTIALS Begin your financial education in Investorama's InfoCenters, where you'll find jargon-free, straight-forward personal finance information on a wide range of topics: THE LATEST FROM THE GUIDES Have you checked out the Financial Guides lately? They're easier to use, with all the essential tools on your topic of choice at your fingertips: FROM THE DIRECT INVESTING GUIDE Bookmark this article and send the URL to your friends: A list of every term a DRIP investor should know: They're low-cost, low-maintenance, and low-fee. Plunge into DRIPs with this complete manual on buying stocks without a broker: FROM THE INSURANCE GUIDE How much life insurance do you really need? Too much would be a waste of your money, and too little could be a disaster. Here's how to arrive at the right amount: If you're a condo dweller, here are the facts you need to know to make sure you're properly insured: AROUND THE COMMUNITY Decision 2000 is still up the in air. Do you think this election's lengthiness underscores a need for reform? Speak out: Copyright 2000 by Investorama.com, Inc. You are subscribed to this newsletter as ebass@enron.com. You've received this free email because you subscribed to it at Investorama.com. To unsubscribe from this weekly email, or subscribe to additional email series, update your newsletter preferences: To access the newsletter preferences page, you'll need to log in to Investorama with your member name (Dominator128) and password. Forgot your password? Click here: If you have any questions about this newsletter or about Investorama.com, please contact us at feedback@investorama.com."
Normal,"This in an automated e-mail sent out from the Commissioner.COM web site. Do not reply to this e-mail, but instead please visit your league's site at Gary Lamphier requests the following transaction:. Drop Jeff Blake. Add Bernie Parmalee. To approve this transaction, please go to your web site and select Transactions, Requests in the Front Office."
Normal,"This in an automated e-mail sent out from the Commissioner.COM web site. Do not reply to this e-mail, but instead please visit your league's site at Gary Lamphier requests the following transaction:. Drop Marcus Pollard. Add Kris Mangum. To approve this transaction, please go to your web site and select Transactions, Requests in the Front Office."
Normal,"This is not about politics, but about our military. Please read ""reply 1"".-Larry - Threads2.url"
Normal,Try this.... check out www.traffic.com
Normal,"are you being sarcastic already this morning? Eric Bass@ECT 11/29/2000 07:59 AM To: Shanna Husser/HOU/EES@EES cc: Subject: Re: December out schedule are you aure your boss doesn't hate you? Enron North America Corp. From: Shanna Husser @ EES 11/29/2000 07:56 AM To: Eric Bass/HOU/ECT@ECT cc: Subject: Re: December out schedule ---------------------- Forwarded by Shanna Husser/HOU/EES on 11/29/2000 07:56 AM --------------------------- Sally Seelig 11/29/2000 07:55 AM To: Shanna Husser/HOU/EES@EES cc: Subject: Re: December out schedule No problem. Just put a change request in for me to sign. Shanna Husser 11/29/2000 07:17 AM To: Sally Seelig/HOU/EES cc: Subject: December out schedule Sally- Would there be any problem with me moving my half day off on the 21st to a half day off on the 29th? Shanna ---------------------- Forwarded by Shanna Husser/HOU/EES on 11/29/2000 07:16 AM --------------------------- Enron Energy Services From: Deborah Delgado 11/27/2000 11:42 AM Phone No: 713-853-9183 To: EES Tax cc: Subject: December out schedule The following people are scheduled to be on vacation in December. Let me know of any changes by Wednesday, Nov. 29. Thanks, Debbie Barthel, Christina Dec. 1, 21, 27, 28 Crixell, Cris Dec. 29 (2 hrs) Fischer, Jeff Dec. 21(6 hrs), 27 - 29 Flinn, Dara Dec. 19 (4 hrs), 20 -28 Hudson, John Dec. 20, 21, 27 Horrigan, Jim Dec. 21 - 28 Laird, Rick Dec. 11, 20, 21 Lange, Ed Dec. 22 (5 hrs) Lee, Patty Dec. 18 - 29 Mertins, Holly Dec. 27, 28 Ramirez, Angie Dec. 1, 4, 20 - 29 Reese, Sharon Dec. 8, 27, 28 Seelig, Sally Dec. 22, 27, 28 Walther, Britt Dec. 27 - 29 Delgado, Debbie Dec. 19 - 29 Fischer, Mary Dec. 4, 5 Husser, Shanna Dec. 11 - 15, 21(4 hrs) Lun, Ching Dec. 27, 28 Avila, Rafael Dec. 21, 27 - 29 Christmas Holidays Dec. 25, 26"
Normal,"are you aure your boss doesn't hate you? Enron North America Corp. From: Shanna Husser @ EES 11/29/2000 07:56 AM To: Eric Bass/HOU/ECT@ECT cc: Subject: Re: December out schedule ---------------------- Forwarded by Shanna Husser/HOU/EES on 11/29/2000 07:56 AM --------------------------- Sally Seelig 11/29/2000 07:55 AM To: Shanna Husser/HOU/EES@EES cc: Subject: Re: December out schedule No problem. Just put a change request in for me to sign. Shanna Husser 11/29/2000 07:17 AM To: Sally Seelig/HOU/EES cc: Subject: December out schedule Sally- Would there be any problem with me moving my half day off on the 21st to a half day off on the 29th? Shanna ---------------------- Forwarded by Shanna Husser/HOU/EES on 11/29/2000 07:16 AM --------------------------- Enron Energy Services From: Deborah Delgado 11/27/2000 11:42 AM Phone No: 713-853-9183 To: EES Tax cc: Subject: December out schedule The following people are scheduled to be on vacation in December. Let me know of any changes by Wednesday, Nov. 29. Thanks, Debbie Barthel, Christina Dec. 1, 21, 27, 28 Crixell, Cris Dec. 29 (2 hrs) Fischer, Jeff Dec. 21(6 hrs), 27 - 29 Flinn, Dara Dec. 19 (4 hrs), 20 -28 Hudson, John Dec. 20, 21, 27 Horrigan, Jim Dec. 21 - 28 Laird, Rick Dec. 11, 20, 21 Lange, Ed Dec. 22 (5 hrs) Lee, Patty Dec. 18 - 29 Mertins, Holly Dec. 27, 28 Ramirez, Angie Dec. 1, 4, 20 - 29 Reese, Sharon Dec. 8, 27, 28 Seelig, Sally Dec. 22, 27, 28 Walther, Britt Dec. 27 - 29 Delgado, Debbie Dec. 19 - 29 Fischer, Mary Dec. 4, 5 Husser, Shanna Dec. 11 - 15, 21(4 hrs) Lun, Ching Dec. 27, 28 Avila, Rafael Dec. 21, 27 - 29 Christmas Holidays Dec. 25, 26"
Normal,---------------------- Forwarded by Shanna Husser/HOU/EES on 11/29/2000 07:56 AM --------------------------- Sally Seelig 11/29/2000 07:55 AM To: Shanna Husser/HOU/EES@EES cc: Subject: Re: December out schedule No problem. Just put a change request in for
Normal,"Dear Eric Bass, This holiday season, 1-800-FLOWERS.COM would like to extend a special holiday offer to you for being a valued customer. This offer is only available for a limited time only, so please act now! Click here to view catalog: Happy Holidays, Your Friends at 1-800-FLOWERS.COM"
Normal,"---------------------- Forwarded by Shanna Husser/HOU/EES on 11/29/2000 07:05 AM --------------------------- Steven McCabe <steven_mccabe@yahoo.com> on 11/28/2000 05:20:52 PM To: Drew Wilkinson <lsumba@yahoo.com>, Bob Wood <bgwood@tntech.edu>, Andy Hogue "
Normal,"Dear Eric Bass, Great news! You now have even more reasons to open another Ameritradec account. HURRY - LIMITED TIME OFFER 25 FREE TRADES AND 2 ROUND-TRIP TICKETS. Open an additional account by January 2, 2001, and you'll get 25 commission-free Internet equity trades in your first month and receive two round-trip tickets to Hawaii, Mexico, or London when you purchase a 7-night stay at a participating hotel. You'll also get a phone card with 60 minutes of free long distance. Learn more IS= =20 RUNNING OUT - BEAT THE END OF YEAR TAX RUSH! You=01,re managing your other investments, why not your IRA? It=01,s the perfect time to open your new IRA with Ameritrade - you can open any IRA and pay no setup fee, no annual fee and with no minimum deposit. You=01,ll even get a free copy of the ""Motley Fool Investment Tax Guide 2001"". Apply SOON= ,=20 REAL-TIME ACCOUNT BALANCES. Soon your account balance will update throughout the day as you buy and sell securities. This offers you a quick listing of your account=01,s cash balance and liquidation value since the close of the previous market day. If you have a margin account, view additional account balance information including, buying power, available funds, margin balance, equity balance and percentage, short and long values and total maintenance requirements.* Ameritrade - no minimum funding IRA=01,s, generous account opening bonuses and exciting new real-time technology - it=01,s how you get somewhere on Wall Street. Jack McDonnell President & CEO Ameritrade, Inc. Ameritrade understands the importance of protecting your privacy. If you do not wish to receive news about new and valuable Ameritrade services in the future, please hit your ""reply"" button, type ""unsubscribe"" in the subject line, and send the note.=20 We'll gladly exclude you from future marketing messages. *It=01,s important to note that buying power and available funds are not updated based upon price appreciation of securities held in your account.=20 Real-time position availability is subject to market volatility and volume. -- Market data is provided by named third parties. Ameritrade does not guarantee the accuracy or timeliness of data provided. Ameritrade is a registered service mark of Ameritrade Holding Corporation. , Ameritrade, Inc.=20 All rights reserved. ATI 729 E-M 11/00 [IMAGE]"
