v1,v2
Normal,"Lucy, Here is the 2/2 rentroll. The total does not equal the bank deposit. Your earlier response answered the questions for #3,11,15,20a, and 35. But the deposit was $495 more than the rentroll adds up to. If the answer to this question lies in apartment 1,13, and 14, can you update this file and send it back. Now I am going to work on a rentroll for this Friday. I will probably send you some questions about the 2/9 rentroll. Let's get this stuff clean today. Phillip"
Normal,"Jim, Here are the key gas contacts. Work Home Cell Phillip Allen X37041 713-463-8626 713-410-4679 Mike Grigsby X37031 713-780-1022 713-408-6256 Keith Holst X37069 713-667-5889 713-502-9402 Please call me with any significant developments. Phillip"
Normal,"Lucy, The apartments that have new tenants since December 15th are: Are we running an apartment complex or a motel? Please update all lease information on the 1/12 rentroll and email it to me this afternoon. Phillip"
Normal,"Larry, Do you want the loan and wire amount to be for exactly $1.1 million. Phillip"
Normal,Thanks for representing Matt. Phillip
Normal,"George, Here is a spreadsheet that illustrates the payout of investment and builders profit. Check my math, but it looks like all the builders profit would be recouped in the first year of operation. At permanent financing $1.1 would be paid, leaving only .3 to pay out in the 1st year. Since almost 80% of builders profit is repaid at the same time as the investment, I feel the 65/35 is a fair split. However, as I mentioned earlier, I think we should negotiate to layer on additional equity to you as part of the construction contract. Just to begin the brainstorming on what a construction agreement might look like here are a few ideas: 1. Fixed construction profit of $1.4 million. Builder doesn't benefit from higher cost, rather suffers as an equity holder. 2. +5% equity for meeting time and costs in original plan ($51/sq ft, phase 1 complete in November) +5% equity for under budget and ahead of schedule -5% equity for over budget and behind schedule This way if things go according to plan the final split would be 60/40, but could be as favorable as 55/45. I realize that what is budget and schedule must be discussed and agreed upon. Feel free to call me at home (713)463-8626 Phillip"
Normal,"Lucy, Here is a schedule of the most recent utility bills and the overages. There are alot of overages. It will probably get worse this month because of all the cold weather. You need to be very clear with all new tenants about the electricity cap. This needs to be handwritten on all new leases. I am going to fax you copies of the bills that support this spreadsheet. We also need to write a short letter remind everyone about the cap and the need to conserve energy if they don't want to exceed their cap. I will write something today. Wait until you have copies of the bills and the letter before you start collecting. Phillip"
Normal,We do not understand our VAR. Can you please get us all the detailed reports and component VAR reports that you can produce? The sooner the better. Phillip
Normal,"Ted, Andrea in the analysts pool asked me to fill out this request. Can you help expedite this process? Phillip"
Normal,"Frank, Did you receive the information about the San Marcos apartments. I have left several messages at your office to follow up. You mentioned that your plate was fairly full. Are you too busy to look at this project? As I mentioned I would be interested in speaking to you as an advisor or at least a sounding board for the key issues. Please email or call. Phillip Allen pallen@enron.com 713-853-7041"
Normal,"Attached is davis.doc, a quick & dirty report from today's news conference from Gov. Davis, et al., The following section of this message contains a file attachment prepared for transmission using the Internet MIME message format. If you are using Pegasus Mail, or any another MIME-compliant system, you should be able to save it or view it from within your mailer. If you cannot, please ask your system administrator for assistance. ---- File information ----------- File: Davis.doc Date: 13 Dec 2000, 15:55 Size: 35840 bytes. Type: MS-Word - Davis.doc"
Normal,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 11/16/2000 02:51 PM --------------------------- To: Faith Killen/HOU/ECT@ECT cc: Subject: Re: West Gas 2001 Plan Faith, Regarding the 2001 plan, the members of the west desk are as follows: Na"
Normal,"Questions about 12/29 rentroll: There were two deposits that were not labeled. One for $150 and the other for $75. Which apartments? 20a or #13? Utility overages for #26 and #44? Where did you get these amounts? For what periods? What is going on with #42. Do not evict this tenant for being unclean!!! That will just create an apartment that we will have to spend a lot of money and time remodeling. I would rather try and deal with this tenant by first asking them to clean their apartment and fixing anything that is wrong like leaky pipes. If that doesn't work, we should tell them we will clean the apartment and charge them for the labor. Then we will perform monthly inspections to ensure they are not damaging the property. This tenant has been here since September 1998, I don't want to run them off. I check with the bank and I did not see that a deposit was made on Tuesday so I couldn't check the total from the rentroll against the bank. Is this right? Has the deposit been made yet? A rentroll for Jan 5th will follow shortly. Phillip"
Normal,cannot open this file. Please send in different format
Normal,I can't open a winmail.dat file. can you send in a different format
Normal,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/02/2001 09:34 AM --------------------------- From: Tim Belden 12/05/2000 06:42 AM To: Phillip K Allen/HOU/ECT@ECT cc: Subject: New Generation, Nov 30th ---------------------- Forwarded by T"
Normal,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 12/29/2000 10:13 AM --------------------------- From: Steven J Kean@ENRON on 12/28/2000 09:19 PM CST To: Tim Belden/HOU/ECT@ECT, Phillip K Allen/HOU/ECT@ECT, David Parquet/SF/ECT@ECT, Marty Su"
Normal,"Trading Profits P. Allen 200 M. Grigsby 463 Rest of Desk 282 Total 945 I view my bonus as partly attributable to my own trading and partly to the group's performance. Here are my thoughts. Minimum Market Maximum Cash 2 MM 4 MM 6 MM Equity 2 MM 4 MM 6 MM Here are Mike's numbers. I have not made any adjustments to them. Minimum Market Maximum Cash 2 MM 3 MM 4 MM Equity 4 MM 7 MM 12 MM I have given him an ""expectations"" speech, but you might do the same at some point. Phillip"
Normal,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 12/28/2000 09:50 AM --------------------------- Hunter S Shively 12/28/2000 07:15 AM To: Phillip K Allen/HOU/ECT@ECT cc: Subject: Larry, I was able to scan my 98 & 99 tax returns into Adobe. H"
Normal,"Gentlemen, I continue to speak to an attorney for help with the investment structure and a mortgage broker for help with the financing. Regarding the financing, I am working with Jim Murnan at Pinnacle Mortgage here in Houston. I have sent him some information on the project, but he needs financial information on you. Can you please send it to him. His contact information is: phone (713)781-5810, fax (713)781-6614, and email jim123@pdq.net. I know Larry has been working with a bank and they need my information. I hope to pull that together this afternoon. I took the liberty of calling Thomas Reames from the Frog Pond document. He was positive about his experience overall. He did not seem pleased with the bookkeeping or information flow to the investor. I think we should discuss these procedures in advance. Let's continue to speak or email frequently as new developments occur. Phillip"
Normal,"Jim, I would appreciate your help in locating financing for the project I described to you last week. The project is a 134 unit apartment complex in San Marcos. There will be a builder/developer plus myself and possibly a couple of other investors involved. As I mentioned last week, I would like to find interim financing (land, construction, semi-perm) that does not require the investors to personally guarantee. If there is a creative way to structure the deal, I would like to hear your suggestions. One idea that has been mentioned is to obtain a ""forward commitment"" in order to reduce the equity required. I would also appreciate hearing from you how deals of this nature are normally financed. Specifically, the transition from interim to permanent financing. I could use a quick lesson in what numbers will be important to banks. I am faxing you a project summary. And I will have the builder/developer email or fax his financial statement to you. Let me know what else you need. The land is scheduled to close mid January. Phillip Allen"
Normal,"Jeff, Everything should be done for closing on the Leander deal on the 29th. I have fed ex'd the closing statements and set up a wire transfer to go out tomorrow. When will more money be required? Escrow for roads? Utility connections? Other rezoning costs? What about property taxes? The burnet land lost its ag exemption while I owned it. Are there steps we can take to hold on to the exemption on this property? Can you explain the risks and likelihood of any rollback taxes once the property is rezoned? Do we need to find a farmer and give him grazing rights? What are the important dates coming up and general status of rezoning and annexing? I am worried about the whole country slipping into a recession and American Multifamily walking on this deal. So I just want to make sure we are pushing the process as fast as we can. Phillip"
Normal,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 11/16/2000 02:50 PM --------------------------- To: Faith Killen/HOU/ECT@ECT cc: Subject: Re: West Gas 2001 Plan Faith, Regarding the 2001 plan, the members of the west desk are as follows: Na"
Normal,"Steve, I am sending you a variety of charts with prices and operational detail. If you need to call with questions my home number is 713-463-8626. As far as recommendations, here is a short list: 1. Examine LDC's incentive rate program. Current methodology rewards sales above monthly index without enough consideration of future replacement cost. The result is that the LDC's sell gas that should be injected into storage when daily prices run above the monthly index. This creates a shortage in later months. 2. California has the storage capacity and pipeline capacity to meet demand. Investigate why it wasn't maximized operationally. Specific questions should include: 1. Why in March '00-May '00 weren't total system receipts higher in order to fill storage? 2. Why are there so many examples of OFO's on weekends that push away too much gas from Socal's system. I believe Socal gas does an extremely poor job of forecasting their own demand. They repeatedly estimated they would receive more gas than their injection capablity, but injected far less. 3. Similar to the power market, there is too much benchmarking to short term prices. Not enough forward hedging is done by the major LDCs. By design the customers are short at a floating rate. This market has been long historically. It has been a buyers market and the consumer has benefitted. Call me if you need any more input. Phillip"
Normal,Monique Sanchez Jay Reitmeyer Randy Gay Matt Lenhart
Normal,"John, Here is our North of Stanfield forecast for Jan. Supply Jan '01 Dec '00 Jan '00 Sumas 900 910 815 Jackson Pr. 125 33 223 Roosevelt 300 298 333 Total Supply 1325 1241 1371 Demand North of Chehalis 675 665 665 South of Chehalis 650 575 706 Total Demand 1325 1240 1371 Roosevelt capacity is 495. Let me know how your forecast differs. Phillip"
Normal,Please assign global id's to the four junior traders listed on Dawn's original email. The are all trading and need to have unique id's. Thank you
Normal,Received the fax. Thank you. I might have to sell the QQQ and take the loss for taxes. But I would roll right into a basket of individual technology stocks. I think I mentioned this to you previously that I have decided to use this account for the kids college.
Normal,Fax number 713-646-2391
Normal,"PLEASE APPROVE HIM FOR THIS. PHILLIP WILL NOT BE ABLE TO GET INTO HIS EMAIL SYSTEM TO DO THIS. IF YOU HAVE ANY QUESTIONS, OR PROBLEMS, PLEASE CALL ME AT X3-7257. THANK YOU. INA. IF THIS IS A PROBLEM TO DO IT THIS WAY PLEASE CALL ME AND I WILL WALK PHILLIP THROUGH THE STEPS TO APPROVE. IF YOU CALL HIM, HE WILL DIRECT IT TO ME ANYWAY. ARSystem@mailman.enron.com on 12/18/2000 07:07:04 PM To: phillip.k.allen@enron.com cc: Subject: Your Approval is Overdue: Access Request for barry.tycholiz@enron.com This request has been pending your approval for 5 days. Please click Approval to review and act upon this request. Request ID : 000000000009659 Request Create Date : 12/8/00 8:23:47 AM Requested For : barry.tycholiz@enron.com Resource Name : VPN Resource Type : Applications"
Normal,"George & Larry, If possible, I would like to get together in Columbus as Larry suggested. Thursday afternoon is the only day that really works for me. Let me know if that would work for you. I was thinking around 2 or 2:30 pm. I will try to email you any questions I have from the latest proforma tomorrow. Phillip"
Normal,"Jeff, Hear is a new NOI file. I have added an operating statement for 1999 (partial year). I will try to email you some photos soon. Phillip"
Normal,"Jeff, The files attached contain a current rentroll, 2000 operating statement, and a proforma operating statement."
Normal,"George, The other files opened fine, but I can't open winmail.dat files. Can you resend this one in a pdf format.? Thanks, Phillip"
Normal,Yes. Trading reports to Whalley. He is Lavorato's boss.
Normal,"Larry, 10 AM tomorrow is good for me. If you want to email me anything tonight, please use pallen70@hotmail.com. Phillip"
Normal,"Lucy, I want to get the lease data and tenant data updated. The critical information is 1. Move in or lease start date 2. Lease expiration date 3. Rent 4. Deposit If you have the info you can fill in these items 1. Number of occupants 2. Workplace All the new leases should be the long form. The apartments that have new tenants since these columns have been updated back in October are I really need to get this by tomorrow. Please use the rentroll_1215 file to input the correct information on all these tenants. And email it to me tomorrow. You should have all this information on their leases and applications. Phillip"
Normal,"Lucy, Here is a new file for 12/15. For the rentroll for 12/08 here are my questions: #23 & #24 did not pay. Just late or moving? #25 & #33 Both paid 130 on 12/01 and $0 on 12/08. What is the deal? #11 Looks like she is caught up. When is she due again? Please email the answers. Phillip"
Normal,---------------------- Forwarded by Phillip K Allen/HOU/ECT on 12/14/2000 11:15 AM --------------------------- Enron North America Corp. From: Rebecca W Cantrell 12/13/2000 02:01 PM To: Phillip K Allen/HOU/ECT@ECT cc: Subject: Re: Phillip -- Is the value 
Normal,Yes you can use this chart. Does it make sense?
Normal,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 12/14/2000 10:06 AM --------------------------- From: Sarah Novosel@ENRON on 12/13/2000 04:39 PM CST To: Steven J Kean/NA/Enron@Enron, Richard Shapiro/NA/Enron@Enron, James D Steffes/NA/Enron@"
Normal,#NAME?
Normal,"Phillip, How are you today I am very busy but I have to let you know that #37 I.Knockum is pd up untill 11/17/00 because on 10/26/00 she pd 250.00 so i counted and tat pays her up untill 10/26/ or did i count wrong? Lucy says: she pays 125.00 a week but she'sgoing on vacation so thjat is why she pd more Lucy says: I have all the deposit ready but she isn't due on this roll I just wanted to tell you because you might think she didn't pay or something Lucy says: the amnt is:4678.00 I rented #23 aand #31 may be gone tonight I have been putting in some overtime trying to rent something out i didnt leave last night untill 7:00 and i have to wait for someone tonight that works late. phillip says: send me the rentroll when you can phillip says: Did I tell you that I am going to try and be there this Fri & Sat Lucy says: no you didn't tell me that you were going to be here but wade told me this morning I sent you the roll did you get it? Did you need me here this weekend because I have a sweet,sixteen I'm getting ready for and if you need me here Sat,then I will get alot done before then. phillip says: We can talk on Friday Lucy says: okay see ya later bye. Lucy says: I sent you the roll did you get it ? phillip says: yes thank you The following message could not be delivered to all recipients: yes thank you"
Normal,"Ina, Where can we put Barry T.? Phillip ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 11/14/2000 02:32 PM --------------------------- Barry Tycholiz 11/13/2000 08:06 AM To: Ina Rangel/HOU/ECT@ECT cc: Phillip K Allen/HOU/ECT@ECT Subject: New Employee on 32 I will be relocating to 32 effective Dec. 4. Can you have me set up with all the required equipment including, PC ( 2 Flat screens), Telephone, and cell phone. Talk to Phillip regarding where to set my seat up for right now. Thanks in advance. . Barry If there are any questions... Give me a call. ( 403-) 245-3340."
Normal,"George, Just a note to check in. Are there any new developments? Phillip"
Normal,"Faith, Regarding the 2001 plan, the members of the west desk are as follows: Name Title Trading Phillip Allen VP Mike Grigsby Director Keith Holst Manager(possible Director) Janie Tholt Director Steve South Director Frank Ermis Manager Tori Kuykendall Manager Matt Lenhart Analyst(possible associate) Monique Sanchez Commercial Support Manager Jay Reitmeyer Senior Specialist Ina Rangel Assistant (split costs with middle market) Marketing Barry Tycholiz Director Mark Whitt Director Paul Lucci Manager (possible Director) 2-3 TBD Do I need to give you the names of our operations group? Special Pays- I believe Mike Grigsby has a retention payment due this year. Also we should budget for another $150,000 of special payments. I know you have been working with Barry T. if his headcount is different on the Marketing staff use his numbers. Let me know if there is anything else you need. Phillip"
Normal,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 11/03/2000 03:45 PM --------------------------- Ina Rangel 11/03/2000 11:53 AM To: Phillip K Allen/HOU/ECT@ECT cc: Subject: ALLEN DURANGO HOTEL ------- 48 HR CANCEL Phillip, Here is your hotel"
Normal,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 11/03/2000 01:40 PM --------------------------- Kristian J Lande 11/03/2000 08:36 AM To: Christopher F Calger/PDX/ECT@ECT, Jake Thomas/HOU/ECT@ECT, Frank W Vickers/HOU/ECT@ECT, Elliot Mainzer/"
Normal,"----- Forwarded by Sarah Novosel/Corp/Enron on 12/13/2000 05:35 PM ----- ""Randall Rich"" <rrich@bracepatt.com> 12/13/2000 05:13 PM To: ""Jeffrey Watkiss"" <dwatkiss@bracepatt.com>, <jhartso@enron.com>, <jsteffe@enron.com>, <llawner@enron.com>, <snovose@enron"
Normal,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 11/02/2000 04:12 PM --------------------------- ""phillip allen"" <pallen70@hotmail.com> on 11/02/2000 12:58:03 PM To: pallen@enron.com cc: Subject: Get Your Private, Free E-mail from MSN Hotmai"
Normal,"George, Your attachment is not opening on my computer. Can you put the info in Word instead? Thanks, Phillip"
Normal,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 11/02/2000 10:36 AM --------------------------- ""George Richards"" <cbpres@austin.rr.com> on 11/02/2000 07:17:16 AM Please respond to <cbpres@austin.rr.com> To: ""Phillip Allen"" <pallen@enron.co"
Normal,Put me down as a reviewer
Normal,can you fill it in yourself? I will sign it.
Normal,---------------------- Forwarded by Phillip K Allen/HOU/ECT on 11/01/2000 11:33 AM --------------------------- Jeff Richter 10/20/2000 02:16 PM To: Phillip K Allen/HOU/ECT@ECT cc: Subject: Generation
Normal,"Scott, Thanks for the email. I have two questions: 1. The"
Normal,raincheck?
Normal,"Bob, Activate Plan B. No money from John. Wish I had better news. Phillip"
Normal,"Dave, The back office is having a hard time dealing with the $11 million dollars that is to be recognized as transport expense by the west desk then recouped from the Office of the Chairman. Is your understanding that the West desk will receive origination each month based on the schedule below. The Office of the Chairman agrees to grant origination to the Denver desk as follows: October 2000 $1,395,000 November 2000 $1,350,000 December 2000 $1,395,000 January 2001 $ 669,600 February 2001 $ 604,800 March 2001 $ 669,600 April 2001 $ 648,000 May 2001 $ 669,600 June 2001 $ 648,000 July 2001 $ 669,600 August 2001 $ 669,600 September 2001 $ 648,000 October 2001 $ 669,600 November 2001 $ 648,000 December 2001 $ 669,600 This schedule represents a demand charge payable to NBP Energy Pipelines by the Denver desk. The demand charge is $.18/MMBtu on 250,000 MMBtu/Day (Oct-00 thru Dec-00) and 120,000 MMBtu/Day (Jan-01 thru Dec-01). The ENA Office of the Chairman has agreed to reimburse the west desk for this expense. Let me know if you disagree. Phillip"
Normal,No can do. Are you in the zone?
Normal,"Steve, Thank you for the update. The need is still great for this disk space. Phillip"
Normal,"Bob, I spoke to Jeff. He said he would not pay anything. I am waiting for John to be in a good mood to ask. What is plan B? Phillip"
Normal,"Transwestern Pipeline Co. posted new notice(s) since our last check at 12/13/2000 4:00:01 PM, the newest notice looks like: Capacity Constraint, Dec 13 2000 4:03PM, Dec 14 2000 9:00AM, Dec 15 2000 8:59AM, 2241, Allocation - San Juan Lateral Please click the following to go to the web site for detail. =60"
Normal,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/31/2000 12:11 PM --------------------------- liane_kucher@mcgraw-hill.com on 10/31/2000 09:57:05 AM To: Phillip.K.Allen@enron.com cc: Subject: November fixed-price deals Phil, Thanks so muc"
Normal,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/30/2000 09:14 AM --------------------------- Enron Technology From: Stephen Stock 10/27/2000 12:49 PM To: Phillip K Allen/HOU/ECT@ECT cc: Subject: ERMS / RMS Databases Phillip, It looks as "
